ref,qty,value,footprint,mfg_part,lcsc_check,notes
Z1,1,Zener 10V 500mW,SOD-123,BZT52C10 (or MMSZ5240B),C8062 (CHECK),"Q1 VGS clamp — cathode → source (+12V_RAIL), anode → gate. **10 V (not 12 V)** for BOM commonality with unit Z1 (unit Z1 must be 10 V; master AOD409 ±20 V tolerates either). Cross-validated by Gemini + ChatGPT external review 2026-04-26."
R_q1g,1,100 ohm,0603 1%,generic,C22775 (CHECK),"Q1 gate series resistor (slows turn-on; isolates Z1 clamp current)"
R_q1g2,1,10 kohm,0603 1%,generic,C25804,"Q1 gate pull-down to GND (replaces earlier R_q1_gate)"
F1,1,Fuse 15 A slow-blow,5x20mm + holder,generic,n/a,Master input
F_row,4,Polyfuse 4 A hold,2920 SMD,Bourns MF-LSMF400/16X-2 (or equiv),C175125 (CHECK),"Per-row 12 V output protection. **2920 (NOT 1812)** — MF-MSMF 1812 family does not support 4 A hold; 2920 is the smallest viable package."
D1,1,LED green,0805,generic,C72043,PWR indicator (3V3 hardwired)
D2,1,LED blue,0805,generic,C2293,HEARTBEAT
D3,1,LED red,0805,generic,C2286,FAULT
D4,4,LED green,0805,generic,C72043,ROW0..ROW3 power indicators (post-polyfuse 12V)
D8,1,12V TVS,DO-214AC SMA,Littelfuse SMAJ15A,C167238,"Input TVS unidirectional. Cathode (banded) → +12V (post-fuse), anode → GND. Place AFTER F1 fuse so a sustained TVS clamp opens the fuse."
D9,1,RS-485 ESD Bus 0,SOT-23,Semtech SM712-02HTG,C172881,
D10,1,RS-485 ESD Bus 1,SOT-23,Semtech SM712-02HTG,C172881,
D11,1,RS-485 ESD Bus 2,SOT-23,Semtech SM712-02HTG,C172881,
D12,1,RS-485 ESD Bus 3,SOT-23,Semtech SM712-02HTG,C172881,
J1,1,Screw terminal 2-pin (>=15 A),7.62 mm pitch THT,KF7.62-2P (or DECA MA231 5mm),C8270,12 V/15 A input. **NOT** Phoenix MKDS 1.5/2 (rated only 8 A). KF7.62-2P is 16 A; DECA MA231-50002M (LCSC C237691) is 15 A 5 mm pitch alt.
J2,1,USB-C receptacle,USB-C 16-pin SMD,generic with shielded shell,C165948,Programming + debug
J3,1,JST-VH 4-pin,THT B4P-VH-A,JST B4P-VH-A,C144392 (CHECK),"Bus 0 row port: 12V/A/B/GND. JST-VH (≥5 A per pin) — NOT JST-XH (3 A; undersized for 4 A row fuse). Locked across system per OPEN_DECISIONS #4."
J4,1,JST-VH 4-pin,THT B4P-VH-A,JST B4P-VH-A,C144392 (CHECK),Bus 1 row port (same MPN as J3).
J5,1,JST-VH 4-pin,THT B4P-VH-A,JST B4P-VH-A,C144392 (CHECK),Bus 2 row port (same MPN as J3).
J6,1,JST-VH 4-pin,THT B4P-VH-A,JST B4P-VH-A,C144392 (CHECK),Bus 3 row port (same MPN as J3).
J7,1,Header 2x4 male debug,2.54 mm pitch,generic,C2904 (CHECK 2x4),"UART/SPI debug breakout. Replace earlier C124378 reference (C124378 is 1x40 single-row strip — wrong). If a 2x4 LCSC code is awkward, drop J7 and use labeled test pads on the SPI/UART nets instead."
SW1,1,Tact switch BOOT,SMD 6x6,generic,C318884,IO0
SW2,1,Tact switch RST,SMD 6x6,generic,C318884,EN
C_bulk,1,470 uF / 25 V,Radial THT,generic,C107821,Input bulk
C_in,1,10 uF / 25 V,1206 X7R,generic,C19702,Buck module input cap (per K7803/R-78E datasheet 4.7-10 uF X7R; 1206 ensures JLC-stocked X7R availability)
C_out,2,10 uF / 10 V,0805 X7R,generic,C15850,LDO output
C_decap_esp,8,100 nF,0603 X7R,generic,C14663,ESP32-S3 decoupling
C_decap_uart,1,100 nF,0603 X7R,generic,C14663,SC16IS740 VDD decoupling (single 3V3 supply at pin 1; no separate VDD_io on SC16IS740IPW)
C_decap_phy,4,100 nF,0603 X7R,generic,C14663,SN65HVD75 Vcc decoupling — one per PHY (U4/U5/U6/U7) close to pin 8
C_xtal,2,18 pF,0603 NP0,generic,C36760,Crystal load caps for SC16IS740
C_usb,2,1 uF / 10 V,0603 X7R,generic,C15849,USB rail decoupling
C_row,4,10 uF / 25 V,0805 X7R,generic,C19702,Per-row output bulk (post-polyfuse)
R_term,4,120 ohm,0805 1%,generic,C22787,RS-485 termination per bus
R_bias_a,4,1 kohm,0805 1%,generic,C17513,A bias to 3V3 per bus
R_bias_b,4,1 kohm,0805 1%,generic,C17513,B bias to GND per bus
R_led,3,1 kohm,0603 1%,generic,C21190,LED current limit (PWR/HB/FAULT)
R_led_row,4,4.7 kohm,0603 1%,generic,C25879,Row PWR LED current limit (12V hardwired)
R_cc,2,5.1 kohm,0603 1%,generic,C25905,USB-C CC pull-downs
R_strap,4,10 kohm,0603 1%,generic,C25804,ESP32-S3 strap pins + EN pull-up
R_uart_strap,4,10 kohm,0603 1%,generic,C25804,SC16IS740 IRQ pull-up + reset pull
