Designator,Value,Package,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Notes,StockStatus
Q1,AO3401A,SOT-23-3,1,AO3401A,Alpha Omega,LCSC,C15127,Barrel jack reverse-polarity PMOS,UNCHECKED
L_BUCK,4.7uH 3A shielded,SMD 6x6,1,MWSA0630S-4R7MT,Sunlord,LCSC,C167220,Buck inductor,UNCHECKED
D1,SMAJ5.0CA,DO-214AC (SMA),1,SMAJ5.0CA,Littelfuse,LCSC,C181256,Barrel jack TVS bidirectional,UNCHECKED
D_BACKFEED,SS14 Schottky 40V 1A,DO-214AC (SMA),1,SS14,ON Semi,LCSC,C2480,JACK_5V to 5V_LOGIC low-current backfeed,UNCHECKED
U_LED,TLC5947DAP,HTSSOP-28,1,TLC5947DAP,Texas Instruments,LCSC,C43754,24-ch 12-bit PWM constant-current LED driver (DAP thermal pad variant),UNCHECKED
LED_1,LED Green 1204 side-view,LED_SIDEVIEW_1204,1,19-217/GHC-YR1S2/3T,Everlight,LCSC,C72041,5V rail indicator,UNCHECKED
LED_2,LED Green 1204 side-view,LED_SIDEVIEW_1204,1,19-217/GHC-YR1S2/3T,Everlight,LCSC,C72041,3V3 rail indicator,UNCHECKED
LED_3,LED Green 1204 side-view,LED_SIDEVIEW_1204,1,19-217/GHC-YR1S2/3T,Everlight,LCSC,C72041,S3 heartbeat,UNCHECKED
LED_4,LED Yellow 1204 side-view,LED_SIDEVIEW_1204,1,19-217/Y2C-AL1M2VY/3T,Everlight,LCSC,C72044,H2 heartbeat (H2 IO11 driven),UNCHECKED
LED_5,LED Blue 1204 side-view,LED_SIDEVIEW_1204,1,19-217/BHC-ZL1M2RY/3T,Everlight,LCSC,C72042,WiFi link + traffic,UNCHECKED
LED_6,LED Yellow 1204 side-view,LED_SIDEVIEW_1204,1,19-217/Y2C-AL1M2VY/3T,Everlight,LCSC,C72044,Zigbee link + TX/RX (H2 IO12 driven),UNCHECKED
LED_7,LED Blue 1204 side-view,LED_SIDEVIEW_1204,1,19-217/BHC-ZL1M2RY/3T,Everlight,LCSC,C72042,BLE state + GATT (H2 IO13 driven) - same blue part as LED_5 WiFi; firmware distinguishes by blink pattern,UNCHECKED
LED_8,LED Green 1204 side-view,LED_SIDEVIEW_1204,1,19-217/GHC-YR1S2/3T,Everlight,LCSC,C72041,I2C bus activity,UNCHECKED
LED_9,LED White 1204 side-view,LED_SIDEVIEW_1204,1,19-217/W2C-BMNPGYBM2/3T,Everlight,LCSC,C72046,S3-H2 UART activity,UNCHECKED
LED_10,LED Green 1204 side-view,LED_SIDEVIEW_1204,1,19-217/GHC-YR1S2/3T,Everlight,LCSC,C72041,Row 1 activity,UNCHECKED
LED_11,LED Green 1204 side-view,LED_SIDEVIEW_1204,1,19-217/GHC-YR1S2/3T,Everlight,LCSC,C72041,Row 2 activity,UNCHECKED
LED_12,LED Green 1204 side-view,LED_SIDEVIEW_1204,1,19-217/GHC-YR1S2/3T,Everlight,LCSC,C72041,Row 3 activity,UNCHECKED
LED_13,LED Green 1204 side-view,LED_SIDEVIEW_1204,1,19-217/GHC-YR1S2/3T,Everlight,LCSC,C72041,Row 4 activity,UNCHECKED
LED_14,LED Green 1204 side-view,LED_SIDEVIEW_1204,1,19-217/GHC-YR1S2/3T,Everlight,LCSC,C72041,Row 5 activity,UNCHECKED
LED_15,LED Green 1204 side-view,LED_SIDEVIEW_1204,1,19-217/GHC-YR1S2/3T,Everlight,LCSC,C72041,Row 6 activity,UNCHECKED
LED_16,LED Green 1204 side-view,LED_SIDEVIEW_1204,1,19-217/GHC-YR1S2/3T,Everlight,LCSC,C72041,Row 7 activity,UNCHECKED
LED_17,LED Green 1204 side-view,LED_SIDEVIEW_1204,1,19-217/GHC-YR1S2/3T,Everlight,LCSC,C72041,Row 8 activity,UNCHECKED
LED_18,LED Orange 1204 side-view,LED_SIDEVIEW_1204,1,19-217/OHC-YR2S2/3T,Everlight,LCSC,C72045,OTA in progress,UNCHECKED
LED_19,LED Red 1204 side-view,LED_SIDEVIEW_1204,1,19-217/RHC-AL1M2VY/3T,Everlight,LCSC,C72043,Fault / recovery,UNCHECKED
LED_RGB_1,SK6812 mini side-emit,SK6812_MINI_E,1,SK6812MINI-E,Opsco Optoelectronics,LCSC,C527089,Addressable RGB position 1 (DIN from S3 IO21 via R_RGB_SER),UNCHECKED
LED_RGB_2,SK6812 mini side-emit,SK6812_MINI_E,1,SK6812MINI-E,Opsco Optoelectronics,LCSC,C527089,Position 2,UNCHECKED
LED_RGB_3,SK6812 mini side-emit,SK6812_MINI_E,1,SK6812MINI-E,Opsco Optoelectronics,LCSC,C527089,Position 3,UNCHECKED
LED_RGB_4,SK6812 mini side-emit,SK6812_MINI_E,1,SK6812MINI-E,Opsco Optoelectronics,LCSC,C527089,Position 4,UNCHECKED
LED_RGB_5,SK6812 mini side-emit,SK6812_MINI_E,1,SK6812MINI-E,Opsco Optoelectronics,LCSC,C527089,Position 5,UNCHECKED
LED_RGB_6,SK6812 mini side-emit,SK6812_MINI_E,1,SK6812MINI-E,Opsco Optoelectronics,LCSC,C527089,Position 6,UNCHECKED
LED_RGB_7,SK6812 mini side-emit,SK6812_MINI_E,1,SK6812MINI-E,Opsco Optoelectronics,LCSC,C527089,Position 7,UNCHECKED
LED_RGB_8,SK6812 mini side-emit,SK6812_MINI_E,1,SK6812MINI-E,Opsco Optoelectronics,LCSC,C527089,Position 8,UNCHECKED
LED_RGB_9,SK6812 mini side-emit,SK6812_MINI_E,1,SK6812MINI-E,Opsco Optoelectronics,LCSC,C527089,Position 9,UNCHECKED
LED_RGB_10,SK6812 mini side-emit,SK6812_MINI_E,1,SK6812MINI-E,Opsco Optoelectronics,LCSC,C527089,Position 10,UNCHECKED
LED_RGB_11,SK6812 mini side-emit,SK6812_MINI_E,1,SK6812MINI-E,Opsco Optoelectronics,LCSC,C527089,Position 11,UNCHECKED
LED_RGB_12,SK6812 mini side-emit,SK6812_MINI_E,1,SK6812MINI-E,Opsco Optoelectronics,LCSC,C527089,Position 12,UNCHECKED
LED_RGB_13,SK6812 mini side-emit,SK6812_MINI_E,1,SK6812MINI-E,Opsco Optoelectronics,LCSC,C527089,Position 13,UNCHECKED
LED_RGB_14,SK6812 mini side-emit,SK6812_MINI_E,1,SK6812MINI-E,Opsco Optoelectronics,LCSC,C527089,Position 14,UNCHECKED
LED_RGB_15,SK6812 mini side-emit,SK6812_MINI_E,1,SK6812MINI-E,Opsco Optoelectronics,LCSC,C527089,Position 15,UNCHECKED
LED_RGB_16,SK6812 mini side-emit,SK6812_MINI_E,1,SK6812MINI-E,Opsco Optoelectronics,LCSC,C527089,Position 16 (DOUT NC),UNCHECKED
LEVEL_RGB,74LVC1T45GW 3V3-5V translator,SOT-363,1,74LVC1T45GW-Q100H,Nexperia,LCSC,C430353,DNP default; populate if SK6812 V_IH fails logic-level qualification (JP_RGB_BYPASS 0 Ω shorts it out),UNCHECKED
JP_RGB_BYPASS,0R 0402,0402,1,0402WGF0000TCE,UNI-ROYAL,LCSC,C17168,Bypasses LEVEL_RGB when populated (default populated),UNCHECKED
JP_LED_EXP,1x10 header 2.54mm DNP,HDR-1X10,1,2211S-10G,Changjiang Connectors,LCSC,C124381,TLC5947 ch 14..23 expansion DNP,UNCHECKED
D_ROW1,SMBJ5.0A,DO-214AA (SMB),1,SMBJ5.0A,Littelfuse,LCSC,C7414,Row 1 5V TVS,UNCHECKED
D_ROW2,SMBJ5.0A,DO-214AA (SMB),1,SMBJ5.0A,Littelfuse,LCSC,C7414,Row 2,UNCHECKED
D_ROW3,SMBJ5.0A,DO-214AA (SMB),1,SMBJ5.0A,Littelfuse,LCSC,C7414,Row 3,UNCHECKED
D_ROW4,SMBJ5.0A,DO-214AA (SMB),1,SMBJ5.0A,Littelfuse,LCSC,C7414,Row 4,UNCHECKED
D_ROW5,SMBJ5.0A,DO-214AA (SMB),1,SMBJ5.0A,Littelfuse,LCSC,C7414,Row 5,UNCHECKED
D_ROW6,SMBJ5.0A,DO-214AA (SMB),1,SMBJ5.0A,Littelfuse,LCSC,C7414,Row 6,UNCHECKED
D_ROW7,SMBJ5.0A,DO-214AA (SMB),1,SMBJ5.0A,Littelfuse,LCSC,C7414,Row 7,UNCHECKED
D_ROW8,SMBJ5.0A,DO-214AA (SMB),1,SMBJ5.0A,Littelfuse,LCSC,C7414,Row 8,UNCHECKED
FB1,Ferrite 470 ohm @100MHz,0603,1,BLM18PG471SN1D,Murata,LCSC,C1017,USB VBUS EMI filter,UNCHECKED
F1,Polyfuse 2A hold,1812,1,1812L200/24THMR,Littelfuse,LCSC,C181547,Row 1,UNCHECKED
F2,Polyfuse 2A hold,1812,1,1812L200/24THMR,Littelfuse,LCSC,C181547,Row 2,UNCHECKED
F3,Polyfuse 2A hold,1812,1,1812L200/24THMR,Littelfuse,LCSC,C181547,Row 3,UNCHECKED
F4,Polyfuse 2A hold,1812,1,1812L200/24THMR,Littelfuse,LCSC,C181547,Row 4,UNCHECKED
F5,Polyfuse 2A hold,1812,1,1812L200/24THMR,Littelfuse,LCSC,C181547,Row 5,UNCHECKED
F6,Polyfuse 2A hold,1812,1,1812L200/24THMR,Littelfuse,LCSC,C181547,Row 6,UNCHECKED
F7,Polyfuse 2A hold,1812,1,1812L200/24THMR,Littelfuse,LCSC,C181547,Row 7,UNCHECKED
F8,Polyfuse 2A hold,1812,1,1812L200/24THMR,Littelfuse,LCSC,C181547,Row 8,UNCHECKED
J1,USB-C receptacle 16-pin,USB-C_16P,1,USB4105-GF-A,GCT,LCSC,C165948,Programming + power,UNCHECKED
J2,DC jack 5.5x2.1mm,DC-005,1,DC-005-2.0,Korean Hroparts,LCSC,C49750,Barrel jack,UNCHECKED
J3,B4B-XH-A(LF)(SN),XH-4 THT,1,B4B-XH-A(LF)(SN),JST,LCSC,C144394,Row 1 connector,UNCHECKED
J4,B4B-XH-A(LF)(SN),XH-4 THT,1,B4B-XH-A(LF)(SN),JST,LCSC,C144394,Row 2,UNCHECKED
J5,B4B-XH-A(LF)(SN),XH-4 THT,1,B4B-XH-A(LF)(SN),JST,LCSC,C144394,Row 3,UNCHECKED
J6,B4B-XH-A(LF)(SN),XH-4 THT,1,B4B-XH-A(LF)(SN),JST,LCSC,C144394,Row 4,UNCHECKED
J7,B4B-XH-A(LF)(SN),XH-4 THT,1,B4B-XH-A(LF)(SN),JST,LCSC,C144394,Row 5,UNCHECKED
J8,B4B-XH-A(LF)(SN),XH-4 THT,1,B4B-XH-A(LF)(SN),JST,LCSC,C144394,Row 6,UNCHECKED
J9,B4B-XH-A(LF)(SN),XH-4 THT,1,B4B-XH-A(LF)(SN),JST,LCSC,C144394,Row 7,UNCHECKED
J10,B4B-XH-A(LF)(SN),XH-4 THT,1,B4B-XH-A(LF)(SN),JST,LCSC,C144394,Row 8,UNCHECKED
JP_DEBUG_I2C,1x4 header 2.54mm,HDR-1X4,1,2211S-04G,Changjiang Connectors,LCSC,C124378,Pre-mux I2C logic-analyzer access,UNCHECKED
JP_DEBUG_S3,1x4 header 2.54mm,HDR-1X4,1,2211S-04G,Changjiang Connectors,LCSC,C124378,S3 UART0 debug breakout,UNCHECKED
JP_DEBUG_H2,1x6 header 2.54mm,HDR-1X6,1,2211S-06G,Changjiang Connectors,LCSC,C124380,H2 UART0 + EN + BOOT_SEL breakout,UNCHECKED
JP_BYPASS_SDA,0R 0402 DNP,0402,1,0402WGF0000TCE,UNI-ROYAL,LCSC,C17168,Mux bypass SDA - DNP default,UNCHECKED
JP_BYPASS_SCL,0R 0402 DNP,0402,1,0402WGF0000TCE,UNI-ROYAL,LCSC,C17168,Mux bypass SCL - DNP default,UNCHECKED
SW1,Tactile SMD 6x6,TACT_SMD_6x6,1,TS-1187A-B-A-B,XKB,LCSC,C318884,RESET_S3 button,UNCHECKED
SW2,Tactile SMD 6x6,TACT_SMD_6x6,1,TS-1187A-B-A-B,XKB,LCSC,C318884,BOOT_S3 button,UNCHECKED
C_SW1_DEB,100nF X7R 25V,0603,1,CL10B104KB8NNNC,Samsung,LCSC,C14663,SW1 RESET_S3 debounce + ESD shunt (EN_S3_NODE to GND),UNCHECKED
C_SW2_DEB,100nF X7R 25V,0603,1,CL10B104KB8NNNC,Samsung,LCSC,C14663,SW2 BOOT_S3 debounce + ESD shunt (BOOT_S3_BTN to GND),UNCHECKED
R_CC1,5.1k 1%,0603,1,0603WAF5101T5E,UNI-ROYAL,LCSC,C23186,USB CC pulldown,UNCHECKED
R_CC2,5.1k 1%,0603,1,0603WAF5101T5E,UNI-ROYAL,LCSC,C23186,USB CC pulldown,UNCHECKED
R_QGATE,10k 1%,0603,1,0603WAF1002T5E,UNI-ROYAL,LCSC,C25804,PMOS gate pulldown,UNCHECKED
R_CE_USB,100k 1%,0603,1,0603WAF1003T5E,UNI-ROYAL,LCSC,C25803,LM66100 U2 /CE pull,UNCHECKED
R_EN_BUCK,100k 1%,0603,1,0603WAF1003T5E,UNI-ROYAL,LCSC,C25803,AP63300 EN pull,UNCHECKED
R_FB_TOP,100k 1%,0603,1,0603WAF1003T5E,UNI-ROYAL,LCSC,C25803,Buck feedback top,UNCHECKED
R_FB_BOT,31.6k 1%,0603,1,0603WAF3162T5E,UNI-ROYAL,LCSC,C26037,Buck feedback bottom,UNCHECKED
R_EN_S3,10k 1%,0603,1,0603WAF1002T5E,UNI-ROYAL,LCSC,C25804,ESP32-S3 EN pullup,UNCHECKED
R_EN_H2,10k 1%,0603,1,0603WAF1002T5E,UNI-ROYAL,LCSC,C25804,ESP32-H2 EN pullup,UNCHECKED
R_MUX_RST,10k 1%,0603,1,0603WAF1002T5E,UNI-ROYAL,LCSC,C25804,TCA9548A /RESET pullup,UNCHECKED
R_H2_RST_SER,1k 1%,0603,1,0603WAF1001T5E,UNI-ROYAL,LCSC,C21190,Series resistor S3 IO11 to H2 EN,UNCHECKED
R_H2_BOOT_SER,1k 1%,0603,1,0603WAF1001T5E,UNI-ROYAL,LCSC,C21190,Series resistor S3 IO13 to H2 IO9,UNCHECKED
R_H2_IRQ,10k 1%,0603,1,0603WAF1002T5E,UNI-ROYAL,LCSC,C25804,H2_IRQ pullup to 3V3 on S3 side,UNCHECKED
R_H2_STRAP2,10k 1%,0603,1,0603WAF1002T5E,UNI-ROYAL,LCSC,C25804,H2 IO2 strap pullup,UNCHECKED
R_H2_STRAP8,10k 1%,0603,1,0603WAF1002T5E,UNI-ROYAL,LCSC,C25804,H2 IO8 strap pullup (ROM_MSG),UNCHECKED
R_H2_STRAP9,10k 1%,0603,1,0603WAF1002T5E,UNI-ROYAL,LCSC,C25804,H2 IO9 strap pullup (boot mode),UNCHECKED
R_SDA_MCU,4.7k 1%,0603,1,0603WAF4701T5E,UNI-ROYAL,LCSC,C23162,MCU-side SDA pullup,UNCHECKED
R_SCL_MCU,4.7k 1%,0603,1,0603WAF4701T5E,UNI-ROYAL,LCSC,C23162,MCU-side SCL pullup,UNCHECKED
R_SDA_MUX1,4.7k 1%,0603,1,0603WAF4701T5E,UNI-ROYAL,LCSC,C23162,Mux row 1 SDA pullup,UNCHECKED
R_SCL_MUX1,4.7k 1%,0603,1,0603WAF4701T5E,UNI-ROYAL,LCSC,C23162,Mux row 1 SCL pullup,UNCHECKED
R_SDA_MUX2,4.7k 1%,0603,1,0603WAF4701T5E,UNI-ROYAL,LCSC,C23162,Mux row 2 SDA pullup,UNCHECKED
R_SCL_MUX2,4.7k 1%,0603,1,0603WAF4701T5E,UNI-ROYAL,LCSC,C23162,Mux row 2 SCL pullup,UNCHECKED
R_SDA_MUX3,4.7k 1%,0603,1,0603WAF4701T5E,UNI-ROYAL,LCSC,C23162,Mux row 3 SDA pullup,UNCHECKED
R_SCL_MUX3,4.7k 1%,0603,1,0603WAF4701T5E,UNI-ROYAL,LCSC,C23162,Mux row 3 SCL pullup,UNCHECKED
R_SDA_MUX4,4.7k 1%,0603,1,0603WAF4701T5E,UNI-ROYAL,LCSC,C23162,Mux row 4 SDA pullup,UNCHECKED
R_SCL_MUX4,4.7k 1%,0603,1,0603WAF4701T5E,UNI-ROYAL,LCSC,C23162,Mux row 4 SCL pullup,UNCHECKED
R_SDA_MUX5,4.7k 1%,0603,1,0603WAF4701T5E,UNI-ROYAL,LCSC,C23162,Mux row 5 SDA pullup,UNCHECKED
R_SCL_MUX5,4.7k 1%,0603,1,0603WAF4701T5E,UNI-ROYAL,LCSC,C23162,Mux row 5 SCL pullup,UNCHECKED
R_SDA_MUX6,4.7k 1%,0603,1,0603WAF4701T5E,UNI-ROYAL,LCSC,C23162,Mux row 6 SDA pullup,UNCHECKED
R_SCL_MUX6,4.7k 1%,0603,1,0603WAF4701T5E,UNI-ROYAL,LCSC,C23162,Mux row 6 SCL pullup,UNCHECKED
R_SDA_MUX7,4.7k 1%,0603,1,0603WAF4701T5E,UNI-ROYAL,LCSC,C23162,Mux row 7 SDA pullup,UNCHECKED
R_SCL_MUX7,4.7k 1%,0603,1,0603WAF4701T5E,UNI-ROYAL,LCSC,C23162,Mux row 7 SCL pullup,UNCHECKED
R_SDA_MUX8,4.7k 1%,0603,1,0603WAF4701T5E,UNI-ROYAL,LCSC,C23162,Mux row 8 SDA pullup,UNCHECKED
R_SCL_MUX8,4.7k 1%,0603,1,0603WAF4701T5E,UNI-ROYAL,LCSC,C23162,Mux row 8 SCL pullup,UNCHECKED
R_SDA_ROW1,4.7k 1%,0603,1,0603WAF4701T5E,UNI-ROYAL,LCSC,C23162,Row 1 SDA pullup to 5V,UNCHECKED
R_SCL_ROW1,4.7k 1%,0603,1,0603WAF4701T5E,UNI-ROYAL,LCSC,C23162,Row 1 SCL pullup to 5V,UNCHECKED
R_SDA_ROW2,4.7k 1%,0603,1,0603WAF4701T5E,UNI-ROYAL,LCSC,C23162,Row 2 SDA pullup to 5V,UNCHECKED
R_SCL_ROW2,4.7k 1%,0603,1,0603WAF4701T5E,UNI-ROYAL,LCSC,C23162,Row 2 SCL pullup to 5V,UNCHECKED
R_SDA_ROW3,4.7k 1%,0603,1,0603WAF4701T5E,UNI-ROYAL,LCSC,C23162,Row 3 SDA pullup to 5V,UNCHECKED
R_SCL_ROW3,4.7k 1%,0603,1,0603WAF4701T5E,UNI-ROYAL,LCSC,C23162,Row 3 SCL pullup to 5V,UNCHECKED
R_SDA_ROW4,4.7k 1%,0603,1,0603WAF4701T5E,UNI-ROYAL,LCSC,C23162,Row 4 SDA pullup to 5V,UNCHECKED
R_SCL_ROW4,4.7k 1%,0603,1,0603WAF4701T5E,UNI-ROYAL,LCSC,C23162,Row 4 SCL pullup to 5V,UNCHECKED
R_SDA_ROW5,4.7k 1%,0603,1,0603WAF4701T5E,UNI-ROYAL,LCSC,C23162,Row 5 SDA pullup to 5V,UNCHECKED
R_SCL_ROW5,4.7k 1%,0603,1,0603WAF4701T5E,UNI-ROYAL,LCSC,C23162,Row 5 SCL pullup to 5V,UNCHECKED
R_SDA_ROW6,4.7k 1%,0603,1,0603WAF4701T5E,UNI-ROYAL,LCSC,C23162,Row 6 SDA pullup to 5V,UNCHECKED
R_SCL_ROW6,4.7k 1%,0603,1,0603WAF4701T5E,UNI-ROYAL,LCSC,C23162,Row 6 SCL pullup to 5V,UNCHECKED
R_SDA_ROW7,4.7k 1%,0603,1,0603WAF4701T5E,UNI-ROYAL,LCSC,C23162,Row 7 SDA pullup to 5V,UNCHECKED
R_SCL_ROW7,4.7k 1%,0603,1,0603WAF4701T5E,UNI-ROYAL,LCSC,C23162,Row 7 SCL pullup to 5V,UNCHECKED
R_SDA_ROW8,4.7k 1%,0603,1,0603WAF4701T5E,UNI-ROYAL,LCSC,C23162,Row 8 SDA pullup to 5V,UNCHECKED
R_SCL_ROW8,4.7k 1%,0603,1,0603WAF4701T5E,UNI-ROYAL,LCSC,C23162,Row 8 SCL pullup to 5V,UNCHECKED
R_DBG_SDA,220R 1%,0603,1,0603WAF2200T5E,UNI-ROYAL,LCSC,C22962,JP_DEBUG_I2C SDA series,UNCHECKED
R_DBG_SCL,220R 1%,0603,1,0603WAF2200T5E,UNI-ROYAL,LCSC,C22962,JP_DEBUG_I2C SCL series,UNCHECKED
R_SH1,1M 1%,0603,1,0603WAF1004T5E,UNI-ROYAL,LCSC,C22906,USB shield to GND,UNCHECKED
R_LED_5V,1k 1%,0603,1,0603WAF1001T5E,UNI-ROYAL,LCSC,C21190,LED_1 (5V rail) series,UNCHECKED
R_LED_3V3,1k 1%,0603,1,0603WAF1001T5E,UNI-ROYAL,LCSC,C21190,LED_2 (3V3 rail) series,UNCHECKED
R_LED_H2_HB,1k 1%,0603,1,0603WAF1001T5E,UNI-ROYAL,LCSC,C21190,LED_4 (H2 heartbeat) series,UNCHECKED
R_LED_ZIGBEE,1k 1%,0603,1,0603WAF1001T5E,UNI-ROYAL,LCSC,C21190,LED_6 (Zigbee) series,UNCHECKED
R_LED_BLE,1k 1%,0603,1,0603WAF1001T5E,UNI-ROYAL,LCSC,C21190,LED_7 (BLE) series,UNCHECKED
R_IREF,2.7k 1%,0603,1,0603WAF2701T5E,UNI-ROYAL,LCSC,C23169,TLC5947 IREF - sets per-channel constant-current to ~15 mA,UNCHECKED
R_RGB_SER,33R 1%,0603,1,0603WAF330JT5E,UNI-ROYAL,LCSC,C22797,S3 IO21 to SK6812 DIN series - reflection damping,UNCHECKED
C_LED_DEC1,100nF X7R 25V,0603,1,CL10B104KB8NNNC,Samsung,LCSC,C14663,TLC5947 VCC HF decoupling,UNCHECKED
C_LED_DEC2,10uF 10V X5R,0805,1,CL21A106KQFNNNE,Samsung,LCSC,C49678,TLC5947 VCC local bulk,UNCHECKED
C_RGB_BULK,100uF 10V Al polymer,SMD 6.3x5.4,1,EEH-ZA1A101P,Panasonic,LCSC,C526536,SK6812 strip 5V bulk at strip start,UNCHECKED
C_RGB_1,100nF X7R 25V,0603,1,CL10B104KB8NNNC,Samsung,LCSC,C14663,SK6812 LED_RGB_1 VDD decoupling,UNCHECKED
C_RGB_2,100nF X7R 25V,0603,1,CL10B104KB8NNNC,Samsung,LCSC,C14663,SK6812 LED_RGB_2 VDD decoupling,UNCHECKED
C_RGB_3,100nF X7R 25V,0603,1,CL10B104KB8NNNC,Samsung,LCSC,C14663,SK6812 LED_RGB_3 VDD decoupling,UNCHECKED
C_RGB_4,100nF X7R 25V,0603,1,CL10B104KB8NNNC,Samsung,LCSC,C14663,SK6812 LED_RGB_4 VDD decoupling,UNCHECKED
C_RGB_5,100nF X7R 25V,0603,1,CL10B104KB8NNNC,Samsung,LCSC,C14663,SK6812 LED_RGB_5 VDD decoupling,UNCHECKED
C_RGB_6,100nF X7R 25V,0603,1,CL10B104KB8NNNC,Samsung,LCSC,C14663,SK6812 LED_RGB_6 VDD decoupling,UNCHECKED
C_RGB_7,100nF X7R 25V,0603,1,CL10B104KB8NNNC,Samsung,LCSC,C14663,SK6812 LED_RGB_7 VDD decoupling,UNCHECKED
C_RGB_8,100nF X7R 25V,0603,1,CL10B104KB8NNNC,Samsung,LCSC,C14663,SK6812 LED_RGB_8 VDD decoupling,UNCHECKED
C_RGB_9,100nF X7R 25V,0603,1,CL10B104KB8NNNC,Samsung,LCSC,C14663,SK6812 LED_RGB_9 VDD decoupling,UNCHECKED
C_RGB_10,100nF X7R 25V,0603,1,CL10B104KB8NNNC,Samsung,LCSC,C14663,SK6812 LED_RGB_10 VDD decoupling,UNCHECKED
C_RGB_11,100nF X7R 25V,0603,1,CL10B104KB8NNNC,Samsung,LCSC,C14663,SK6812 LED_RGB_11 VDD decoupling,UNCHECKED
C_RGB_12,100nF X7R 25V,0603,1,CL10B104KB8NNNC,Samsung,LCSC,C14663,SK6812 LED_RGB_12 VDD decoupling,UNCHECKED
C_RGB_13,100nF X7R 25V,0603,1,CL10B104KB8NNNC,Samsung,LCSC,C14663,SK6812 LED_RGB_13 VDD decoupling,UNCHECKED
C_RGB_14,100nF X7R 25V,0603,1,CL10B104KB8NNNC,Samsung,LCSC,C14663,SK6812 LED_RGB_14 VDD decoupling,UNCHECKED
C_RGB_15,100nF X7R 25V,0603,1,CL10B104KB8NNNC,Samsung,LCSC,C14663,SK6812 LED_RGB_15 VDD decoupling,UNCHECKED
C_RGB_16,100nF X7R 25V,0603,1,CL10B104KB8NNNC,Samsung,LCSC,C14663,SK6812 LED_RGB_16 VDD decoupling,UNCHECKED
C_FB,22pF C0G,0603,1,CL10C220JB8NNNC,Samsung,LCSC,C1804,Buck FB feedforward,UNCHECKED
